Date,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K(UT) & Ladakh(UT),Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Puducherry,Bihar,DVC,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura
01-01-20,6203,6808,13128,5149,16894,2088,1692,2755,306,3767,15676,14498,21162,508,8561,10347,11660,3716,13703,349,4656,3090,1391,3697,6255,129,109,1358,211,363,102,127,231
02-01-20,6057,6453,13711,5210,16987,2114,1722,2792,293,3509,14523,13575,19706,476,8657,10253,11590,3560,11770,317,4424,3060,1281,3620,6009,120,117,1264,193,379,98,121,220
03-01-20,6176,6648,13670,4690,15989,2110,1668,2824,260,3447,15253,12262,20369,490,8414,10359,11995,3751,14048,348,4556,3078,1305,3658,6062,130,116,1382,195,361,97,126,225
04-01-20,6228,6937,13864,4728,15709,2081,1750,2680,276,3332,15469,12778,20224,516,8433,9921,12173,3732,14435,366,4252,3071,1295,3475,5775,137,121,1304,210,363,111,124,207
05-01-20,6159,6900,13658,4215,15743,2102,1635,2934,246,3414,15441,12714,20301,491,8004,9618,12205,3654,14397,351,4258,3043,1232,3534,5978,123,123,1343,215,368,106,128,218
06-01-20,5484,6308,13146,4182,15637,2008,1614,2538,227,3449,15059,12702,19648,410,8042,9597,11072,3432,12672,324,4299,2945,1310,3477,5550,111,122,1260,183,356,112,128,224
07-01-20,5440,6566,13442,4341,15303,2106,1665,2650,274,3572,15734,13347,21200,500,7842,10103,11658,3751,14111,367,4483,3048,1336,3661,6081,144,117,1382,203,377,103,128,217
08-01-20,5698,6570,13672,4338,15897,2086,1688,2389,275,3553,15651,13747,21596,591,7668,10851,11770,3725,13878,357,4320,3074,1309,3687,6327,142,122,1376,205,366,105,126,226
09-01-20,5748,6531,12950,4282,14413,2153,1608,2696,278,3597,15183,12574,21599,493,7990,10744,11803,3335,14372,327,4457,3142,1333,3533,5533,149,114,1312,201,372,100,128,217
10-01-20,6000,6596,13495,4586,15452,1993,1613,2551,282,3439,15139,12896,20959,496,8193,10918,12305,3717,14333,347,4312,3104,1408,3559,6143,142,118,1363,206,382,105,123,219
