,step,type,branch,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,unusuallogin,isFlaggedFraud,Acct type,Date of transaction,Time of day,isFraud
0,1,PAYMENT,Indonesia,9839.64,C1231006815,170136,160296.36,M1979787155,0,0,9,0,Current,3/1/2018,Morning,0
1,1,PAYMENT,India,1864.28,C1666544295,21249,19384.72,M2044282225,0,0,10,0,Savings,5/1/2018,Morning,0
2,1,TRANSFER,India,181,C1305486145,181,0,C553264065,0,0,2,0,Current,7/1/2018,Morning,1
3,1,CASH_OUT,Australia,181,C840083671,181,0,C38997010,21182,0,1,0,Current,6/1/2018,Afternoon,1
4,1,PAYMENT,Australia,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,17,0,Current,6/1/2018,Morning,0
5,1,PAYMENT,Australia,7817.71,C90045638,53860,46042.29,M573487274,0,0,14,0,Current,8/1/2018,Morning,0
6,1,PAYMENT,China,7107.77,C154988899,183195,176087.23,M408069119,0,0,16,0,,9/1/2018,Night,0
7,1,PAYMENT,China,7861.64,C1912850431,176087.23,168225.59,M633326333,0,0,19,0,Current,10/1/2018,Morning,0
8,1,PAYMENT,China,4024.36,C1265012928,2671,0,M1176932104,0,0,10,0,Current,11/1/2018,Morning,0
9,1,DEBIT,China,5337.77,C712410124,,36382.23,C195600860,41898,40348.79,9,0,Current,12/1/2018,Night,0
10,1,DEBIT,Japon,9644.94,C1900366749,4465,0,C997608398,10845,157982.12,4,0,Savings,13/1/2018,Night,0
11,1,PAYMENT,Indonesia,3099.97,C249177573,20771,17671.03,M2096539129,0,0,10,0,Savings,16/1/2018,Afternoon,0
12,1,PAYMENT,Indonesia,2560.74,C1648232591,5070,2509.26,M972865270,0,0,10,0,Current,19/1/2018,Afternoon,0
13,1,PAYMENT,India,11633.76,C1716932897,10127,0,M801569151,0,0,19,0,Current,25/1/2018,Morning,0
14,1,PAYMENT,India,4098.78,C1026483832,503264,499165.22,M1635378213,0,0,15,0,Savings,3/1/2018,Night,0
15,1,CASH_OUT,India,229133.94,C905080434,15325,0,C476402209,5083,51513.44,12,0,Savings,5/1/2018,Night,0
16,1,PAYMENT,Corea del Sur,1563.82,C761750706,450,0,M1731217984,0,0,1,0,Savings,7/1/2018,Afternoon,0
17,1,PAYMENT,India,1157.86,C1237762639,21156,19998.14,M1877062907,0,0,18,0,Current,6/1/2018,Afternoon,0
18,1,PAYMENT,India,671.64,C2033524545,15123,14451.36,M473053293,0,0,14,0,Current,6/1/2018,Afternoon,0
19,1,TRANSFER,India,215310.3,C1670993182,705,0,C1100439041,22425,0,14,0,Current,8/1/2018,Afternoon,0
20,1,PAYMENT,India,1373.43,C20804602,13854,12480.57,M1344519051,0,0,2,0,Savings,,Morning,0
21,1,DEBIT,India,9302.79,C1566511282,11299,1996.21,C1973538135,29832,16896.7,3,0,Savings,10/1/2018,Afternoon,0
22,1,DEBIT,Australia,1065.41,C1959239586,1817,751.59,C515132998,10330,0,4,0,Current,11/1/2018,Afternoon,0
23,1,PAYMENT,Australia,3876.41,C504336483,67852,63975.59,M1404932042,0,0,5,0,Savings,12/1/2018,Afternoon,0
24,1,TRANSFER,Australia,311685.89,C1984094095,10835,0,C932583850,6267,2719172.89,11,0,Savings,13/1/2018,Night,0
25,1,PAYMENT,Australia,6061.13,C1043358826,443,0,M1558079303,0,0,4,0,Savings,16/1/2018,Night,0
26,1,PAYMENT,Australia,9478.39,C1671590089,116494,107015.61,M58488213,0,0,1,0,Current,19/1/2018,Afternoon,0
27,1,PAYMENT,China,8009.09,C1053967012,10968,2958.91,M295304806,0,0,10,0,,25/1/2018,Morning,0
28,1,PAYMENT,China,8901.99,C1632497828,2958.91,0,M33419717,0,0,19,0,Current,3/1/2018,Morning,0
29,1,PAYMENT,China,9920.52,C764826684,0,0,M1940055334,0,0,12,0,Savings,5/1/2018,Morning,0
30,1,PAYMENT,China,3448.92,C2103763750,0,0,M335107734,0,0,18,0,Current,,Night,0
31,1,PAYMENT,India,4206.84,C215078753,0,0,M1757317128,0,0,6,0,Savings,6/1/2018,Night,0
32,1,PAYMENT,India,5885.56,C840514538,0,0,M1804441305,0,0,5,0,Current,6/1/2018,Afternoon,0
33,1,PAYMENT,China,5307.88,C1768242710,0,0,M1971783162,0,0,14,0,Savings,8/1/2018,Afternoon,0
34,1,PAYMENT,China,5031.22,C247113419,0,0,M151442075,0,0,18,0,Savings,9/1/2018,Morning,0
35,1,PAYMENT,Singapur,24213.67,C1238616099,0,0,M70695990,0,0,16,0,Savings,10/1/2018,Night,0
36,1,PAYMENT,India,8603.42,C1608633989,253,0,M1615617512,0,0,17,0,Savings,11/1/2018,Night,0
37,1,PAYMENT,Australia,2791.42,C923341586,300481,297689.58,M107994825,0,0,3,0,Current,12/1/2018,Afternoon,0
38,1,PAYMENT,Australia,7413.54,C1470868839,297689.58,290276.03,M1426725223,0,0,5,0,Savings,13/1/2018,Afternoon,0
39,1,PAYMENT,Australia,3295.19,C711197015,233633,230337.81,M1384454980,0,0,17,0,Savings,16/1/2018,Afternoon,0
40,1,PAYMENT,Singapur,1684.81,C1481594086,297,0,M1569435561,0,0,4,0,Current,19/1/2018,Afternoon,0
41,1,DEBIT,Singapur,5758.59,C1466917878,32604,26845.41,C1297685781,209699,16997.22,16,0,Savings,25/1/2018,Morning,0
42,1,CASH_OUT,Indonesia,110414.71,C768216420,26845.41,0,C1509514333,288800,2415.16,8,0,Savings,3/1/2018,Afternoon,0
43,1,PAYMENT,Indonesia,7823.46,C260084831,998,0,M267814113,0,0,12,0,Savings,5/1/2018,Afternoon,0
44,1,PAYMENT,Australia,5086.48,C598357562,0,0,M1593224710,0,0,7,0,Savings,7/1/2018,Afternoon,0
45,1,PAYMENT,India,5281.48,C1440738283,152019,146737.52,M1849015357,0,0,2,0,Savings,6/1/2018,Night,0
46,1,PAYMENT,India,13875.98,C484199463,15818,1942.02,M2008106788,0,0,8,0,Savings,6/1/2018,Night,0
47,1,CASH_OUT,China,56953.9,C1570470538,1942.02,0,C824009085,70253,64106.18,14,0,Savings,8/1/2018,Afternoon,0
48,1,CASH_OUT,India,5346.89,C512549200,0,0,C248609774,652637,6453430.91,12,0,Current,,Morning,0
49,1,PAYMENT,Turquia,2204.04,,586,0,M490391704,0,0,14,0,Current,10/1/2018,Morning,0
50,1,PAYMENT,Australia,2641.47,C460570271,23053,20411.53,M1653361344,0,0,18,0,Savings,11/1/2018,Morning,0
51,1,CASH_OUT,Turquia,23261.3,C2072313080,20411.53,0,C2001112025,25742,0,18,0,Current,12/1/2018,Morning,0
52,1,PAYMENT,Mongolia,2330.64,C816944408,203543,201212.36,M909132503,0,0,20,0,Savings,13/1/2018,Morning,0
53,1,,Turquia,1614.64,C912966811,41276,39661.36,M1792384402,0,0,2,0,Savings,16/1/2018,Afternoon,0
54,1,PAYMENT,India,9164.71,C1458621573,47235.77,38071.06,M1658980982,0,0,5,0,Savings,19/1/2018,Morning,0
55,1,PAYMENT,Estados Unidos,2970.97,C46941357,38071.06,35100.09,M1152606315,0,0,11,0,Savings,25/1/2018,Morning,0
56,1,PAYMENT,Estados Unidos,38.66,C343345308,16174,16135.34,M1714688478,0,0,4,0,Savings,3/1/2018,Night,
